"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng","VN.DA",NA,"501","Thành ph<U+1ED1> tr<U+1EF1>c thu<U+1ED9>c t<U+1EC9>nh","City|Municipality|Thanh Pho","","Da Nang City|Da Nang"
2,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai","VN.DN",NA,"713","T<U+1EC9>nh","Province","","Dong Nai"
3,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp","VN.DT",NA,"803","T<U+1EC9>nh","Province","","Dong Thap"
4,250,"VNM","Vietnam",4,"Ðak Nông","VN.DO",NA,"606","T<U+1EC9>nh","Province","","Dac Nong"
5,250,"VNM","Vietnam",5,"Ð<U+1EAF>k L<U+1EAF>k","VN.DC",NA,"605","T<U+1EC9>nh","Province","","Dak Lak|Dac Lac"
6,250,"VNM","Vietnam",6,"Ði<U+1EC7>n Biên","VN.DB",NA,"302","T<U+1EC9>nh","Province","","Dien Bien"
7,250,"VNM","Vietnam",7,"An Giang","VN.AG",NA,"805","T<U+1EC9>nh","Province","","An Giang"
8,250,"VNM","Vietnam",8,"Bà R<U+1ECB>a - Vung Tàu","VN.BV",NA,"717","T<U+1EC9>nh","Province","","Ba Ria - VTau|Ba Ria-Vung Tau"
9,250,"VNM","Vietnam",9,"Bình Ð<U+1ECB>nh","VN.BD",NA,"507","T<U+1EC9>nh","Province","","Binh Dinh"
10,250,"VNM","Vietnam",10,"Bình Duong","VN.BI",NA,"711","T<U+1EC9>nh","Province","","Binh Duong"
11,250,"VNM","Vietnam",11,"Bình Phu<U+1EDB>c","VN.BP",NA,"707","T<U+1EC9>nh","Province","","Binh Phuoc"
12,250,"VNM","Vietnam",12,"Bình Thu<U+1EAD>n","VN.BU",NA,"715","T<U+1EC9>nh","Province","","Binh Thuan"
13,250,"VNM","Vietnam",13,"B<U+1EA1>c Liêu","VN.BL",NA,"821","T<U+1EC9>nh","Province","","Bac Lieu"
14,250,"VNM","Vietnam",14,"B<U+1EAF>c Giang","VN.BG",NA,"221","T<U+1EC9>nh","Province","","Bac Giang"
15,250,"VNM","Vietnam",15,"B<U+1EAF>c K<U+1EA1>n","VN.BK",NA,"207","T<U+1EC9>nh","Province","","Bac Kan|Bac Can"
16,250,"VNM","Vietnam",16,"B<U+1EAF>c Ninh","VN.BN",NA,"106","T<U+1EC9>nh","Province","","Bac Ninh"
17,250,"VNM","Vietnam",17,"B<U+1EBF>n Tre","VN.BR",NA,"811","T<U+1EC9>nh","Province","","Ben Tre"
18,250,"VNM","Vietnam",18,"Cà Mau","VN.CM",NA,"823","T<U+1EC9>nh","Province","","Ca Mau"
19,250,"VNM","Vietnam",19,"Cao B<U+1EB1>ng","VN.CB",NA,"203","T<U+1EC9>nh","Province","","Cao Bang"
20,250,"VNM","Vietnam",20,"C<U+1EA7>n Tho","VN.CN",NA,"815","Thành ph<U+1ED1> tr<U+1EF1>c thu<U+1ED9>c t<U+1EC9>nh","City|Municipality|Thanh Pho","","Can Tho"
21,250,"VNM","Vietnam",21,"Gia Lai","VN.GL",NA,"603","T<U+1EC9>nh","Province","","Gia Lai"
22,250,"VNM","Vietnam",22,"Hà Giang","VN.HG",NA,"201","T<U+1EC9>nh","Province","","Ha Giang"
23,250,"VNM","Vietnam",23,"Hà N<U+1ED9>i","VN.HN",NA,"101","Thành ph<U+1ED1> tr<U+1EF1>c thu<U+1ED9>c t<U+1EC9>nh","City|Municipality|Thanh Pho","","Ha Noi City|Hanoi"
24,250,"VNM","Vietnam",24,"Hà Nam","VN.HM",NA,"111","T<U+1EC9>nh","Province","","Ha Nam"
25,250,"VNM","Vietnam",25,"Hà Tinh","VN.HT",NA,"405","T<U+1EC9>nh","Province","","Ha Tinh"
26,250,"VNM","Vietnam",26,"H<U+1ED3> Chí Minh city","VN.HC",NA,"701","Thành ph<U+1ED1> tr<U+1EF1>c thu<U+1ED9>c t<U+1EC9>nh","City|Municipality|Thanh Pho","","Ho Chi Minh City|Ho Chi Minh"
27,250,"VNM","Vietnam",27,"Hòa Bình","VN.HO",NA,"305","T<U+1EC9>nh","Province","","Hoa Binh"
28,250,"VNM","Vietnam",28,"Hung Yên","VN.HY",NA,"109","T<U+1EC9>nh","Province","","Hung Yen"
29,250,"VNM","Vietnam",29,"H<U+1EA3>i Duong","VN.HD",NA,"107","T<U+1EC9>nh","Province","","Hai Duong"
30,250,"VNM","Vietnam",30,"H<U+1EA3>i Phòng","VN.HP",NA,"103","Thành ph<U+1ED1> tr<U+1EF1>c thu<U+1ED9>c t<U+1EC9>nh","City|Municipality|Thanh Pho","","Hai Phong City|Haiphong"
31,250,"VNM","Vietnam",31,"H<U+1EAD>u Giang","VN.HU ",NA,"816","T<U+1EC9>nh","Province","","Hau Giang"
32,250,"VNM","Vietnam",32,"Khánh Hòa","VN.KH",NA,"511","T<U+1EC9>nh","Province","","Khanh Hoa"
33,250,"VNM","Vietnam",33,"Kiên Giang","VN.KG",NA,"0","T<U+1EC9>nh","Province","","Kien Giang"
34,250,"VNM","Vietnam",33,"Kiên Giang","VN.KG",NA,"813","T<U+1EC9>nh","Province","","Kien Giang"
35,250,"VNM","Vietnam",34,"Kon Tum","VN.KT",NA,"601","T<U+1EC9>nh","Province","","Kon Tum"
36,250,"VNM","Vietnam",35,"Lào Cai","VN.LO",NA,"205","T<U+1EC9>nh","Province","","Lao Cai"
37,250,"VNM","Vietnam",36,"Lâm Ð<U+1ED3>ng","VN.LD",NA,"607","T<U+1EC9>nh","Province","","Lam Dong"
38,250,"VNM","Vietnam",37,"Lai Châu","VN.LI",NA,"301","T<U+1EC9>nh","Province","","Lai Chau"
39,250,"VNM","Vietnam",38,"L<U+1EA1>ng Son","VN.LS",NA,"209","T<U+1EC9>nh","Province","","Lang Son"
40,250,"VNM","Vietnam",39,"Long An","VN.LA",NA,"801","T<U+1EC9>nh","Province","","Long An"
41,250,"VNM","Vietnam",40,"Nam Ð<U+1ECB>nh","VN.ND",NA,"113","T<U+1EC9>nh","Province","","Nam Dinh"
42,250,"VNM","Vietnam",41,"Ngh<U+1EC7> An","VN.NA",NA,"403","T<U+1EC9>nh","Province","","Nghe An"
43,250,"VNM","Vietnam",42,"Ninh Bình","VN.NB",NA,"0","T<U+1EC9>nh","Province","","Ninh Binh"
44,250,"VNM","Vietnam",42,"Ninh Bình","VN.NB",NA,"117","T<U+1EC9>nh","Province","","Ninh Binh"
45,250,"VNM","Vietnam",43,"Ninh Thu<U+1EAD>n","VN.NT",NA,"705","T<U+1EC9>nh","Province","","Ninh Thuan"
46,250,"VNM","Vietnam",44,"Phú Th<U+1ECD>","VN.PT",NA,"217","T<U+1EC9>nh","Province","","Phu Tho"
47,250,"VNM","Vietnam",45,"Phú Yên","VN.PY",NA,"509","T<U+1EC9>nh","Province","","Phu Yen"
48,250,"VNM","Vietnam",46,"Qu<U+1EA3>ng Bình","VN.QB",NA,"407","T<U+1EC9>nh","Province","","Quang Binh"
49,250,"VNM","Vietnam",47,"Qu<U+1EA3>ng Nam","VN.QM",NA,"503","T<U+1EC9>nh","Province","","Quang Nam"
50,250,"VNM","Vietnam",48,"Qu<U+1EA3>ng Ngãi","VN.QG",NA,"505","T<U+1EC9>nh","Province","","Quang Ngai"
51,250,"VNM","Vietnam",49,"Qu<U+1EA3>ng Ninh","VN.QN",NA,"225","T<U+1EC9>nh","Province","","Quang Ninh"
52,250,"VNM","Vietnam",50,"Qu<U+1EA3>ng Tr<U+1ECB>","VN.QT",NA,"409","T<U+1EC9>nh","Province","","Quang Tri"
53,250,"VNM","Vietnam",51,"Sóc Trang","VN.ST",NA,"819","T<U+1EC9>nh","Province","","Soc Trang"
54,250,"VNM","Vietnam",52,"Son La","VN.SL",NA,"303","T<U+1EC9>nh","Province","","Son La"
55,250,"VNM","Vietnam",53,"Tây Ninh","VN.TN",NA,"709","T<U+1EC9>nh","Province","","Tay Ninh"
56,250,"VNM","Vietnam",54,"Thái Bình","VN.TB",NA,"115","T<U+1EC9>nh","Province","","Thai Binh"
57,250,"VNM","Vietnam",55,"Thái Nguyên","VN.TY",NA,"215","T<U+1EC9>nh","Province","","Thai Nguyen"
58,250,"VNM","Vietnam",56,"Th<U+1EEB>a Thiên - Hu<U+1EBF>","VN.TT",NA,"411","T<U+1EC9>nh","Province","","Thua Thien - Hue"
59,250,"VNM","Vietnam",57,"Thanh Hóa","VN.TH",NA,"401","T<U+1EC9>nh","Province","","Thanh Hoa"
60,250,"VNM","Vietnam",58,"Ti<U+1EC1>n Giang","VN.TG",NA,"807","T<U+1EC9>nh","Province","","Tien Giang"
61,250,"VNM","Vietnam",59,"Trà Vinh","VN.TV",NA,"817","T<U+1EC9>nh","Province","","Tra Vinh"
62,250,"VNM","Vietnam",60,"Tuyên Quang","VN.TQ",NA,"211","T<U+1EC9>nh","Province","","Tuyen Quang"
63,250,"VNM","Vietnam",61,"Vinh Long","VN.VL",NA,"809","T<U+1EC9>nh","Province","","Vinh Long"
64,250,"VNM","Vietnam",62,"Vinh Phúc","VN.VC",NA,"104","T<U+1EC9>nh","Province","","Vinh Phuc"
65,250,"VNM","Vietnam",63,"Yên Bái","VN.YB",NA,"213","T<U+1EC9>nh","Province","","Yen Bai"
